Account,Sentiment,Total_Trades,Total_Volume_USD,Total_PnL,Avg_Trade_Size,Win_Rate,Avg_Fear_Greed_Value,Cluster
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Greed,593,5049640.49,453595.318176,8515.413979763913,0.3170320404721753,70.12141652613828,2
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Neutral,79,106000.01000000002,0.0,1341.772278481013,0.0,47.0,3
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Extreme Fear,221,577683.5599999999,198900.56161000003,2613.952760180995,0.420814479638009,15.855203619909505,3
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Extreme Greed,227,588648.11,573.585288,2593.163480176212,0.0044052863436123,80.55066079295155,3
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Fear,431,631747.95,144514.3446,1465.772505800464,0.6450116009280742,32.30858468677494,0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Greed,494,1111813.49,63549.71113,2250.6345951417,0.1336032388663967,67.10728744939271,3
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Neutral,57,141251.22,-4526.698469,2478.0915789473684,0.0,49.36842105263158,3
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Fear,316,1079447.85,25672.838055,3415.97420886076,0.9145569620253164,22.873417721518987,0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,3831,12164067.59,210726.855269,3175.167734273036,0.8546071521795876,79.26050639519708,0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Fear,1664,3316716.2299999995,49364.275663,1993.2188882211533,0.7794471153846154,36.99338942307692,0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,2618,6523818.28,95937.394195,2491.909197860962,0.807868601986249,68.75935828877006,0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Neutral,1464,2645447.29,-2605.9564709999995,1806.9995150273223,0.7151639344262295,47.99863387978142,0
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Extreme Fear,825,2847955.2800000003,3222.822132,3452.067006060606,0.4739393939393939,18.189090909090908,3
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Extreme Greed,3,18780.48,1260.832586,6260.16,0.3333333333333333,77.0,0
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Fear,544,2004454.72,4036.552319,3684.659411764706,0.46875,32.19485294117647,3
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Greed,83,329588.6,6775.291988,3970.946987951807,0.5301204819277109,70.32530120481928,0
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Neutral,104,643705.37,-395.0559780000001,6189.474711538462,0.1346153846153846,45.15384615384615,3
0x8170715b3b381dffb7062c0298972d4727a0a63b,Extreme Fear,159,816051.26,12713.493131,5132.397861635221,0.2767295597484276,20.0125786163522,3
0x8170715b3b381dffb7062c0298972d4727a0a63b,Extreme Greed,98,206332.51,-19135.913281,2105.433775510204,0.0510204081632653,77.81632653061224,3
0x8170715b3b381dffb7062c0298972d4727a0a63b,Fear,1745,4170375.08,151292.73285899998,2389.899759312321,0.2968481375358166,32.90372492836676,3
0x8170715b3b381dffb7062c0298972d4727a0a63b,Greed,1653,2908242.68,-360101.898234,1759.3724621899576,0.5468844525105868,70.55293405928614,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,Neutral,946,2042756.6,47610.460744,2159.362156448203,0.3065539112050739,48.05708245243129,3
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Extreme Fear,49,289506.08,-4825.496358,5908.287346938776,0.2040816326530612,23.46938775510204,3
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Extreme Greed,80,135211.26,11.717676000000012,1690.14075,0.025,77.375,3
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Fear,55,100479.48000000004,258.41533,1826.8996363636368,0.3454545454545454,36.45454545454545,3
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Greed,297,7343356.08,57108.91130000001,24725.10464646465,0.4814814814814814,70.41750841750842,1
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Neutral,1430,4130620.47,12960.109958,2888.5457832167835,0.3195804195804196,49.7013986013986,3
0x8477e447846c758f5a675856001ea72298fd9cb5,Extreme Fear,539,738773.05,1774.309786,1370.6364564007422,0.2504638218923933,21.19109461966605,3
0x8477e447846c758f5a675856001ea72298fd9cb5,Extreme Greed,3986,3752401.08,56071.411053,941.3951530356248,0.3361766181635725,79.13948820873055,0
0x8477e447846c758f5a675856001ea72298fd9cb5,Fear,1474,1182485.92,9299.484548,802.2292537313432,0.3270013568521031,35.30393487109905,3
0x8477e447846c758f5a675856001ea72298fd9cb5,Greed,6804,4577661.859999999,-24036.539128,672.78980893592,0.1991475602586713,70.47648442092887,3
0x8477e447846c758f5a675856001ea72298fd9cb5,Neutral,2195,2053464.93,808.3427169999986,935.5193302961276,0.2810933940774487,47.6246013667426,3
